UMAP1,UMAP2,leiden,cell_type,is_KC,rut_expression
2.5726035,-2.0105543,49,Dm12,0,1.0
-1.5105054,-5.4540925,50,30,0,1.0
2.1484194,1.127732,51,87,0,0.0
-1.0288999,-3.1952386,48,66,0,0.0
-1.7912602,-6.9155354,49,8,0,0.0
-1.1136504,1.4065946,56,80,0,0.0
-1.0362856,6.25796,52,C2,0,1.0
-7.516297,2.6017733,51,Tm3,0,0.0
-1.4330772,-3.6254926,48,64,0,0.0
-6.295012,-0.31874347,51,TmY5a,0,0.0
1.0818306,1.7195013,56,57,0,0.0
-2.8035226,-3.6599298,48,12,0,1.0
2.227033,-5.6051803,49,23,0,0.0
2.1093104,7.2561617,53,T4/T5,0,0.0
-1.3061173,-0.9976278,49,169,0,0.0
1.7458714,0.4369514,51,97,0,0.0
3.012904,-8.613212,52,157,0,0.0
-2.9830585,-2.5971353,48,91,0,1.0
7.127664,3.5571883,51,ENS,0,0.0
-0.9547896,1.137861,56,80,0,0.0
-0.70632195,-6.1609635,49,94,0,3.0
2.0212803,-3.2646625,49,67,0,1.0
-1.1194434,-3.4271502,48,11,0,0.0
-1.2209129,6.603232,52,C2,0,0.0
6.2192483,6.356955,57,AST,0,0.0
0.83590347,-7.5645905,52,6,0,0.0
7.4879074,8.442346,57,AST,0,0.0
5.6611886,4.2246766,57,65,0,1.0
4.4234805,0.09229679,54,Dm3,0,0.0
2.3295386,6.920725,53,T4/T5,0,0.0
-8.874419,5.6519866,50,A/B-KC,1,1.0
4.6314282,-4.1054974,53,175,0,0.0
6.8552785,8.5824995,57,AST,0,0.0
-2.9328082,7.9945135,51,26,0,2.0
-3.0840375,0.9301374,49,136,0,0.0
-2.588059,-8.087958,49,84,0,1.0
-9.440425,6.570488,50,A/B-KC,1,6.0
-2.485734,-5.8590765,50,18,0,3.0
-0.8688914,-3.7641423,48,30,0,4.0
3.0191376,-0.08164828,54,72,0,0.0
2.0212948,-1.8919913,49,132,0,1.0
5.1257334,10.638778,52,Dm9,0,0.0
8.481161,3.866629,51,ENS,0,0.0
1.6509589,-2.9105315,49,67,0,2.0
-3.8981347,-4.449694,50,PB2,0,0.0
-0.5874321,-5.8160677,49,94,0,1.0
-0.8569936,6.0640078,52,C2,0,1.0
4.259241,3.444438,52,L2/L3,0,1.0
2.5656881,-2.111239,49,Dm12,0,1.0
7.481248,6.5450797,57,AST,0,0.0
-0.036380805,9.14196,49,5,0,0.0
2.8456426,7.2758565,53,T4/T5,0,0.0
-0.28292507,-4.7210217,48,65,0,1.0
2.444082,5.2450933,53,T4/T5,0,0.0
8.355547,5.096888,51,ENS,0,0.0
-2.0870318,-7.6846223,49,8,0,0.0
-4.8529224,-0.51742405,49,Pm4,0,0.0
-2.8981066,-4.950023,50,180,0,0.0
-4.053932,-3.1582618,49,63,0,0.0
-5.5694213,-4.710849,49,39,0,1.0
6.273282,5.9487815,57,AST,0,0.0
-5.973097,2.939157,50,PB4/5,0,2.0
-0.39764822,-5.4016333,48,36,0,1.0
1.2032331,1.9001594,56,57,0,0.0
-0.29475874,2.4208086,55,Tm20,0,0.0
-0.047947202,-3.0943186,48,100,0,1.0
-2.2116153,-4.316743,48,12,0,2.0
11.433932,5.2413893,51,ENS,0,0.0
-7.8099313,0.2354051,51,TmY5a,0,0.0
-8.255814,6.773244,50,A/B-KC,1,0.0
-4.031244,-4.367269,51,168,0,2.0
-1.8411824,-8.285324,49,8,0,1.0
-1.7512233,-4.683505,48,12,0,2.0
-1.7675178,0.53950846,55,140,0,0.0
-2.9093752,5.4639225,50,Tm2,0,0.0
10.961101,5.199379,51,ENS,0,0.0
-10.142839,-6.444282,49,Mi1,0,0.0
7.4986186,8.714622,57,AST,0,0.0
-8.953724,6.370476,50,A/B-KC,1,1.0
1.3872666,3.359356,52,TmY3,0,0.0
-0.2729004,-10.8255,51,98,0,0.0
-2.007168,3.012891,55,69,0,2.0
-0.6994099,-4.250134,48,38,0,0.0
-11.504663,-0.91176265,52,178,0,1.0
0.76903516,-7.257071,52,6,0,1.0
-5.537066,-4.431187,49,39,0,1.0
-2.2638125,-4.2686257,48,12,0,1.0
11.61687,4.9287205,51,ENS,0,0.0
-4.7405524,7.3819065,52,Tm4,0,0.0
11.089987,4.881884,51,ENS,0,0.0
-1.5900546,2.612948,55,69,0,0.0
-1.1273754,-2.0284963,48,71,0,1.0
-0.8920417,-3.2111144,48,82,0,0.0
-10.625252,8.263062,49,G-KC,1,4.0
0.063779,-2.6191535,48,106,0,0.0
-0.81688666,-2.1655762,51,91,0,0.0
7.0905833,8.652929,57,AST,0,0.0
2.480706,-1.7776759,49,LPi-34,0,3.0
1.9880211,-3.05801,49,67,0,1.0
-4.663387,-4.243239,50,PB2,0,4.0
-0.5158746,-0.12770824,48,27,0,0.0
-0.571232,-1.1218827,48,27,0,0.0
3.3628628,-3.2285953,49,162,0,2.0
-1.9017881,-3.1145825,48,82,0,0.0
2.4485714,0.20844401,54,72,0,0.0
-0.82070166,-4.6098466,48,36,0,2.0
-6.5291433,-7.725531,50,81,0,1.0
7.358924,6.2598763,57,AST,0,0.0
-0.25991654,-5.30326,48,94,0,1.0
-1.3785577,-0.3115451,49,27,0,1.0
-10.9929905,-6.796617,49,Mi1,0,0.0
5.201875,10.530863,52,Dm9,0,0.0
-5.414499,-1.3724953,49,42,0,0.0
-1.2098199,-2.9462533,48,71,0,3.0
-3.0348148,-2.9021564,49,138,0,2.0
-0.009050473,-8.3478565,51,115,0,2.0
4.963718,0.58433545,54,Dm3,0,0.0
7.199653,6.2179775,57,AST,0,0.0
-1.510817,-0.46465772,56,19,0,0.0
-1.4631568,-6.0776854,50,30,0,0.0
-1.2675854,-0.86373794,48,25,0,0.0
-2.4032297,-12.826335,50,Mi15,0,0.0
-2.255084,-1.0748103,49,LC10a/b,0,3.0
-2.167524,0.5890101,56,19,0,0.0
-1.2597426,-0.0499493,55,140,0,1.0
3.123073,3.8468883,52,L2/L3,0,0.0
0.7799324,-6.804269,52,6,0,0.0
1.2907751,-3.7883809,49,7,0,0.0
-1.618918,-3.0238733,48,82,0,0.0
-8.690809,-0.68323386,50,121,0,1.0
-3.5993612,-2.1151342,49,138,0,1.0
1.7990257,-13.355046,49,Tm1/TmY8,0,0.0
-5.673451,2.2396302,50,PB4/5,0,3.0
-0.8943292,-6.239572,49,8,0,0.0
-8.0729265,1.9096402,51,Tm3,0,0.0
-5.8198185,-8.518999,50,81,0,0.0
-1.8381644,-3.9378438,48,12,0,1.0
-3.4768293,-5.3264203,50,174,0,1.0
-1.4666545,-3.7540708,48,64,0,0.0
0.09999357,-4.5934243,48,94,0,0.0
-6.011017,0.91255593,49,Mi9,0,1.0
-3.3779545,-2.2159061,49,138,0,0.0
-6.366462,10.5386505,50,T2a,0,1.0
-3.5855172,0.67240644,49,109,0,2.0
-1.4187748,-3.7364762,48,11,0,0.0
-0.90941936,0.38988096,56,80,0,1.0
-3.2429447,-5.306641,50,14,0,3.0
